Provincia,Internet % uso,Celular con internet,Computadora tablet etc,Total de viviendas particulares,Total de viviendas colectivas,Total de población,TOTAL VIVIENDAS
Buenos Aires,82.1,91.3,59.5,6695273,6535,17569053,6701808
CABA,90.6,94,81.3,1638764,1946,3120612,1640710
Catamarca,66.8,85.7,50.4,158989,449,429556,159438
Chaco,64,83.3,46.4,401658,443,1142963,402101
Chubut,79,90.9,63.7,236010,1123,603120,237133
Córdoba,78.7,89.7,59.5,1630356,3548,3978984,1633904
Corrientes,59.1,84.7,46.4,406480,555,1197553,407035
Entre Ríos,76,87.9,57.4,559398,1159,1426426,560557
Formosa,57.5,80.7,38.1,212941,232,606041,213173
Jujuy,68.4,83.9,47.6,276222,326,797955,276548
La Pampa,85.8,90.7,62.9,163805,437,366022,164242
La Rioja,77.2,88,58.3,149910,272,384607,150182
Mendoza,76.5,89.6,55.4,708354,1744,2014533,710098
Misiones,63.9,86.5,44.7,466850,652,1280960,467502
Neuquén,78.7,90.9,64.7,273685,392,726590,274077
Río Negro,76.6,90.4,62.2,295502,910,762067,296412
Salta,65.1,83.1,49.4,478433,766,1440672,479199
San Juan,64.4,86.2,49.1,265047,387,818234,265434
San Luis,78.9,90.1,57.6,201271,339,540905,201610
Santa Cruz,86,93.9,67.7,131395,486,333473,131881
Santa Fe,78.6,89.8,60.5,1458652,1928,3556522,1460580
Santiago del Estero,49.5,80.7,39.7,348705,353,1054028,349058
Tierra del Fuego,83.9,95.2,73.7,67091,137,190641,67228
Tucumán,66.3,86.1,49,555419,382,1703186,555801
